"AtcoCode","TiplocCode","CrsCode","StationName","StationNameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification",SV0000000000,"Latitude","Longitude"
"9100ABDARE","ABDARE","ABA","Aberdare Rail Station","","U",300400,202800,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev",SO0040002800,51.715056,-3.4430834
"9100ABDO","ABDO","AUR","Aberdour Rail Station","","U",319100,685400,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",NT1910085400,56.054590,-3.3005600
"9100ABDVY","ABDVY","AVY","Aberdovey Rail Station","","U",260600,296000,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SN6060096000,52.543955,-4.0570670
"9100ABER","ABER","ABE","Aber Rail Station","","U",314870,186950,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev",ST1487086950,51.574964,-3.2298284
"9100ABGLELE","ABGLELE","AGL","Abergele & Pensarn Rail Station","","U",294612,378681,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SH9461278681,53.294571,-3.5826219
"9100ABRCYNS","ABRCYNS","ACY","Abercynon Rail Station","","U",308278,194824,"2003-11-04T00:00:00","2008-06-05T17:01:49",2,"rev",ST0827894824,51.644707,-3.3269879
"9100ABRDEEN","ABRDEEN","ABD","Aberdeen Rail Station","","U",394127,805872,"2003-11-04T00:00:00","2009-04-15T15:26:29",2,"rev",NJ9412705872,57.143703,-2.0986851
"9100ABRE","ABRE","ABH","Abererch Rail Station","","U",240400,336100,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SH4040036100,52.898581,-4.3741754
"9100ABRGVNY","ABRGVNY","AGV","Abergavenny Rail Station","","U",330500,213600,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev",SO3050013600,51.816688,-3.0096468
"9100ABRYSTH","ABRYSTH","AYW","Aberystwyth Rail Station","","U",258500,281600,"2003-11-04T00:00:00","2007-02-13T17:06:21",4,"rev",SN5850081600,52.414043,-4.0818934
"9100ABWD","ABWD","ABW","Abbey Wood (London) Rail Station","","U",547374,179035,"2003-11-04T00:00:00","2010-05-14T17:36:24",2,"rev",TQ4737479035,51.491061,0.12139403
"9100ACBG","ACBG","ACB","Acton Bridge Rail Station","","U",359870,374560,"2003-11-04T00:00:00","2011-03-24T17:35:58",2,"rev",SJ5987074560,53.266506,-2.6031265
"9100ACHANLT","ACHANLT","AAT","Achanalt Rail Station","","U",226020,861473,"2003-11-04T00:00:00","2010-02-25T14:53:53",2,"rev",NH2602061473,57.609594,-4.9138511
"9100ACHHSHL","ACHHSHL","ACH","Achnashellach Rail Station","","U",200290,848440,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev",NH0029048440,57.482073,-5.3330551
"9100ACHILCK","ACHILCK","AUK","Auchinleck Rail Station","","U",255000,622000,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",NS5500022000,55.470272,-4.2953491
"9100ACHNSHN","ACHNSHN","ACN","Achnasheen Rail Station","","U",216403,858519,"2003-11-04T00:00:00","2010-02-25T14:54:15",2,"rev",NH1640358519,57.579288,-5.0723320
"9100ACKLNGT","ACKLNGT","ACK","Acklington Rail Station","","U",422200,601500,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",NU2220001500,55.307097,-1.6518346
"9100ACLE","ACLE","ACL","Acle Rail Station","","U",639900,310000,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev",TG3990010000,52.634680,1.5439151
"9100ACOCKSG","ACOCKSG","ACG","Acocks Green Rail Station","","U",412400,283500,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SP1240083500,52.449321,-1.8189754
"9100ACRNGTN","ACRNGTN","ACR","Accrington Rail Station","","U",375730,428575,"2003-11-04T00:00:00","2011-02-07T18:49:18",7,"rev",SD7573028575,53.752970,-2.3695478
"9100ACTNCTL","ACTNCTL","ACC","Acton Central Rail Station","","U",520645,180295,"2003-11-04T00:00:00","2010-05-14T17:36:24",2,"rev",TQ2064580295,51.508715,-0.26297069
"9100ACTONML","ACTONML","AML","Acton Main Line Rail Station","","U",520360,181230,"2003-11-04T00:00:00","2010-05-14T17:36:24",2,"rev",TQ2036081230,51.517178,-0.26675643
"9100ADERLYP","ADERLYP","ADD","Adderley Park Rail Station","","U",409880,287250,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev",SP0988087250,52.483084,-1.8559444
"9100ADIEWEL","ADIEWEL","ADW","Addiewell Rail Station","","U",299500,662300,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",NS9950062300,55.843407,-3.6065264
"9100ADISHAM","ADISHAM","ADM","Adisham Rail Station","","U",623391,153976,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",TR2339153976,51.241200,1.1990891
"9100ADLC","ADLC","ADC","Adlington (Cheshire) Rail Station","","U",391200,380300,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SJ9120080300,53.319552,-2.1335625
"9100ADLESTN","ADLESTN","ASN","Addlestone Rail Station","","U",505587,164866,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",TQ0558764866,51.373044,-0.48445678
"9100ADNL","ADNL","ADL","Adlington (Lancs) Rail Station","","U",360200,413135,"2003-11-04T00:00:00","2011-02-07T18:49:18",2,"rev",SD6020013135,53.613243,-2.6030708
"9100ADWICK","ADWICK","AWK","Adwick Rail Station","","U",454375,408725,"2003-11-04T00:00:00","2010-12-20T15:37:54",2,"rev",SE5437508725,53.572319,-1.1803562
"9100AGHTNPH","AGHTNPH","AUG","Aughton Park Rail Station","","U",340790,406775,"2003-11-04T00:00:00","2011-02-07T18:49:18",2,"rev",SD4079006775,53.554246,-2.8952208
"9100AIGBURT","AIGBURT","AIG","Aigburth Rail Station","","U",338400,385700,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SJ3840085700,53.364563,-2.9271549
"9100AINSDAL","AINSDAL","ANS","Ainsdale Rail Station","","U",331101,412224,"2003-11-04T00:00:00","2008-11-17T19:06:08",2,"rev",SD3110112224,53.602031,-3.0426520
"9100AINTREE","AINTREE","AIN","Aintree Rail Station","","U",336625,397890,"2003-11-04T00:00:00","2009-01-05T10:37:07",2,"rev",SJ3662597890,53.473908,-2.9562803
"9100AIRBLES","AIRBLES","AIR","Airbles Rail Station","","U",275034,656191,"2005-03-18T00:00:00","2007-10-04T17:23:03",2,"rev",NS7503456191,55.782832,-3.9941924
"9100AIRDRIE","AIRDRIE","ADR","Airdrie Rail Station","","U",276000,665200,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev",NS7600065200,55.863977,-3.9829120
"9100AIRP","AIRP","APN","Newcastle Airport Metro","","U",418566,571308,"2007-03-02T00:00:00","2010-10-13T15:31:21",1,"rev",NZ1856671308,55.035948,-1.7110465
"9100ALBNYPK","ALBNYPK","AYP","Albany Park Rail Station","","U",547855,172860,"2003-11-04T00:00:00","2010-05-27T19:04:08",2,"rev",TQ4785572860,51.435451,0.12573707
"9100ALBRGHT","ALBRGHT","ALB","Albrighton Rail Station","","U",381900,304500,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SJ8190004500,52.637941,-2.2688999
"9100ALDEDGE","ALDEDGE","ALD","Alderley Edge Rail Station","","U",384317,378563,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SJ8431778563,53.303779,-2.2367991
"9100ALDMSTN","ALDMSTN","AMT","Aldermaston Rail Station","","U",460100,167345,"2005-04-21T00:00:00","2011-01-24T15:59:01",2,"rev",SU6010067345,51.401960,-1.1374238
"9100ALDRSHT","ALDRSHT","AHT","Aldershot Rail Station","","U",486656,150424,"2003-11-04T00:00:00","2006-11-24T15:29:01",3,"rev",SU8665650424,51.246417,-0.75985985
"9100ALDTON","ALDTON","AGT","Aldrington Rail Station","","U",527984,105666,"2005-04-21T00:00:00","2009-10-16T14:37:46",2,"rev",TQ2798405666,50.836382,-0.18382151
"9100ALERTN","ALERTN","LPY","Liverpool South Parkway Rail Station","","U",340921,384909,"2008-11-03T17:50:07","2009-10-09T19:04:20",1,"rev",SJ4092184909,53.357742,-2.8891277
"9100ALEXNDP","ALEXNDP","AAP","Alexandra Palace Rail Station","","U",530295,190460,"2003-11-04T00:00:00","2010-05-14T17:36:24",2,"rev",TQ3029590460,51.597922,-0.12023522
"9100ALFRETN","ALFRETN","ALF","Alfreton Rail Station","","U",442300,356100,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SK4230056100,53.100430,-1.3696961
"9100ALLENSW","ALLENSW","ALW","Allens West Rail Station","","U",441449,514558,"2003-11-04T00:00:00","2009-10-16T14:38:28",2,"rev",NZ4144914558,54.524621,-1.3611167
"9100ALLOA","ALLOA","ALO","Alloa Rail Station","","U",288800,693115,"2008-03-25T07:46:40","2008-03-25T07:46:40",0,"new",NS8880093115,56.117788,-3.7900556
"9100ALNESS","ALNESS","ASS","Alness Rail Station","","U",266000,869400,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev",NH6600069400,57.694393,-4.2497162
"9100ALNMOTH","ALNMOTH","ALM","Alnmouth Rail Station","","U",423115,611040,"2003-11-04T00:00:00","2010-12-20T15:37:54",2,"rev",NU2311511040,55.392776,-1.6366377
"9100ALRESFD","ALRESFD","ALR","Alresford (Essex) Rail Station","","U",606525,221515,"2005-04-21T00:00:00","2010-10-06T16:45:11",4,"rev",TM0652521515,51.853999,0.99743646
"9100ALSAGER","ALSAGER","ASG","Alsager Rail Station","","U",380070,355130,"2003-11-04T00:00:00","2011-11-03T16:09:31",2,"rev",SJ8007055130,53.093002,-2.2990575
"9100ALSHAM","ALSHAM","AYH","Aylesham Rail Station","","U",624182,152457,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",TR2418252457,51.227253,1.2094528
"9100ALTHORN","ALTHORN","ALN","Althorne Rail Station","","U",590524,197929,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",TQ9052497929,51.647869,0.75248345
"9100ALTNBRC","ALTNBRC","ABC","Altnabreac Rail Station","","U",300340,945680,"2003-11-04T00:00:00","2010-02-25T14:50:59",2,"rev",ND0034045680,58.388147,-3.7062802
"9100ALTON","ALTON","AON","Alton Rail Station","","U",472352,139697,"2003-11-04T00:00:00","2006-11-24T15:29:01",3,"rev",SU7235239697,51.151967,-0.96691324
"9100ALTPE","ALTPE","ALP","Althorpe Rail Station","","U",483960,410625,"2003-11-04T00:00:00","2011-05-23T18:36:02",2,"rev",SE8396010625,53.585499,-0.73318226
"9100ALTRNHM","ALTRNHM","ALT","Altrincham Rail Station","","U",377026,387931,"2003-11-04T00:00:00","2010-10-13T15:31:21",5,"rev",SJ7702687931,53.387715,-2.3468888
"9100ALVCHRC","ALVCHRC","ALV","Alvechurch Rail Station","","U",402300,272000,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SP0230072000,52.346069,-1.9676605
"9100ALXANDR","ALXANDR","ALX","Alexandria Rail Station","","U",239300,679900,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",NS3930079900,55.985082,-4.5774841
"9100ALXPD","ALXPD","AXP","Alexandra Parade Rail Station","","U",261747,665542,"2003-11-04T00:00:00","2011-07-07T16:17:02",2,"rev",NS6174765542,55.863169,-4.2106479
"9100AMBERGT","AMBERGT","AMB","Ambergate Rail Station","","U",434900,351600,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SK3490051600,53.060515,-1.4806975
"9100AMERSHM","AMERSHM","AMR","Amersham Rail Station","","U",496379,198188,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",SU9637998188,51.674204,-0.60759611
"9100AMLY","AMLY","AMY","Amberley Rail Station","","U",502632,111812,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",TQ0263211812,50.896678,-0.54199239
"9100AMMANFD","AMMANFD","AMF","Ammanford Rail Station","","U",262400,212700,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SN6240012700,51.795973,-3.9967348
"9100ANCASTR","ANCASTR","ANC","Ancaster Rail Station","","U",498400,344375,"2003-11-04T00:00:00","2011-05-23T18:36:02",2,"rev",SK9840044375,52.987686,-0.53562371
"9100ANDOVER","ANDOVER","ADV","Andover Rail Station","","U",435565,145938,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev",SU3556545938,51.211545,-1.4922329
"9100ANDRSTN","ANDRSTN","AND","Anderston Rail Station","","U",257960,665300,"2003-11-04T00:00:00","2011-07-07T16:17:02",2,"rev",NS5796065300,55.859896,-4.2709790
"9100ANERLEY","ANERLEY","ANZ","Anerley Rail Station","","U",534605,169900,"2003-11-04T00:00:00","2010-05-14T17:36:24",2,"rev",TQ3460569900,51.412151,-0.065885918
"9100ANGELRD","ANGELRD","AGR","Angel Road Rail Station","","U",535200,192200,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",TQ3520092200,51.612403,-0.048791420
"9100ANGMRNG","ANGMRNG","ANG","Angmering Rail Station","","U",506513,102979,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",TQ0651302979,50.816574,-0.48939400
"9100ANNAN","ANNAN","ANN","Annan Rail Station","","U",319300,566200,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev",NY1930066200,54.983834,-3.2625804
"9100ANSDELL","ANSDELL","AFV","Ansdell & Fairhaven Rail Station","","U",334601,427689,"2003-11-04T00:00:00","2009-10-16T14:35:59",3,"rev",SD3460127689,53.741461,-2.9930339
"9100ANSL","ANSL","ANL","Anniesland Rail Station","","U",254880,668683,"2003-11-04T00:00:00","2011-07-07T16:17:02",3,"rev",NS5488068683,55.889349,-4.3219567
"9100APBY","APBY","APP","Appleby Rail Station","","U",368640,520680,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev",NY6864020680,54.580345,-2.4866922
"9100APDR","APDR","APD","Appledore (Kent) Rail Station","","U",597566,129760,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",TQ9756629760,51.033236,0.81634155
"9100APERLYB","APERLYB","APY","Apperley Bridge Rail Station","","U",419454,438429,"2015-03-31T11:04:00","2015-03-31T11:04:00",1,"rev",SE1945438429,53.841747,-1.7058285
"9100APLYBDG","APLYBDG","APB","Appley Bridge Rail Station","","U",352475,409360,"2003-11-04T00:00:00","2011-02-07T18:49:18",2,"rev",SD5247509360,53.578669,-2.7192521
"9100APPLEFD","APPLEFD","APF","Appleford Rail Station","","U",452542,193698,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",SU5254293698,51.639640,-1.2421414
"9100APSLEY","APSLEY","APS","Apsley Rail Station","","U",506245,204874,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",TL0624504874,51.732520,-0.46293480
"9100ARBROTH","ARBROTH","ARB","Arbroath Rail Station","","U",363900,741000,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev",NO6390041000,56.559572,-2.5889314
"9100ARCHRAT","ARCHRAT","ART","Arrochar & Tarbet Rail Station","","U",231200,704600,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev",NN3120004600,56.203969,-4.7227699
"9100ARDGAY","ARDGAY","ARD","Ardgay Rail Station","","U",260030,890446,"2003-11-04T00:00:00","2010-02-25T14:52:45",2,"rev",NH6003090446,57.881451,-4.3620891
"9100ARDLUI","ARDLUI","AUI","Ardlui Rail Station","","U",231700,715500,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev",NN3170015500,56.301965,-4.7216573
"9100ARDRSHB","ARDRSHB","ADS","Ardrossan Harbour Rail Station","","U",222540,642090,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev",NS2254042090,55.639871,-4.8211103
"9100ARDRSSB","ARDRSSB","ASB","Ardrossan South Beach Rail Station","","U",223799,642211,"2003-11-04T00:00:00","2007-10-11T16:51:10",2,"rev",NS2379942211,55.641415,-4.8012113
"9100ARDRSTN","ARDRSTN","ADN","Ardrossan Town Rail Station","","U",223070,642050,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev",NS2307042050,55.639705,-4.8126751
"9100ARDWICK","ARDWICK","ADK","Ardwick Rail Station","","U",385900,397200,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SJ8590097200,53.471342,-2.2138839
"9100ARGYLST","ARGYLST","AGS","Argyle Street Rail Station","","U",259220,664970,"2003-11-04T00:00:00","2010-10-13T15:31:21",3,"rev",NS5922064970,55.857302,-4.2506938
"9100ARISAIG","ARISAIG","ARG","Arisaig Rail Station","","U",166400,786700,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",NM6640086700,56.912545,-5.8390775
"9100ARLSEY","ARLSEY","ARL","Arlesey Rail Station","","U",519045,237820,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",TL1904537820,52.026030,-0.26631983
"9100ARMDALE","ARMDALE","ARM","Armadale (W Lothian) Rail Station","","U",294050,667140,"2010-09-27T10:44:16","2010-09-27T10:44:16",0,"new",NS9405067140,55.885708,-3.6954125
"9100ARMTHWT","ARMTHWT","AWT","Armathwaite Rail Station","","U",350475,546340,"2003-11-04T00:00:00","2011-03-07T15:31:51",2,"rev",NY5047546340,54.809464,-2.7720710
"9100ARNSIDE","ARNSIDE","ARN","Arnside Rail Station","","U",346070,478870,"2003-11-04T00:00:00","2011-03-07T15:31:51",2,"rev",SD4607078870,54.202727,-2.8282414
"9100ARRAM","ARRAM","ARR","Arram Rail Station","","U",503520,444275,"2003-11-04T00:00:00","2011-05-23T18:36:02",2,"rev",TA0352044275,53.884342,-0.42657012
"9100ARUNDEL","ARUNDEL","ARU","Arundel Rail Station","","U",502444,106417,"2003-11-04T00:00:00","2007-02-13T17:06:21",4,"rev",TQ0244406417,50.848213,-0.54617428
"9100ASCOT","ASCOT","ACT","Ascot Rail Station","","U",492200,168300,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SU9220068300,51.406242,-0.67583322
"9100ASCTUWD","ASCTUWD","AUW","Ascott-under-Wychwood Rail Station","","U",430114,218841,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",SP3011418841,51.867339,-1.5640527
"9100ASFDMSX","ASFDMSX","AFS","Ashford (Surrey) Rail Station","","U",506580,171947,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",TQ0658071947,51.436506,-0.46807098
"9100ASFIELD","ASFIELD","ASF","Ashfield Rail Station","","U",259427,668485,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev",NS5942768485,55.888920,-4.2492140
"9100ASHBRYS","ASHBRYS","ABY","Ashburys Rail Station","","U",387191,397229,"2003-11-04T00:00:00","2009-01-05T10:01:28",2,"rev",SJ8719197229,53.471636,-2.1944363
"9100ASHCHRC","ASHCHRC","ASC","Ashchurch for Tewkesbury Rail Station","","U",392630,233390,"2003-11-04T00:00:00","2010-12-20T15:37:54",3,"rev",SO9263033390,51.998902,-2.1087599
"9100ASHD","ASHD","AHD","Ashtead Rail Station","","U",518040,159000,"2003-11-04T00:00:00","2011-02-07T18:49:18",2,"rev",TQ1804059000,51.317872,-0.30757175
"9100ASHFKY","ASHFKY","AFK","Ashford International Rail Station","","U",601282,142204,"2005-04-21T00:00:00","2007-02-13T17:06:21",4,"rev",TR0128242204,51.143704,0.87619726
"9100ASHH","ASHH","ASH","Ash Rail Station","","U",489934,150834,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",SU8993450834,51.249596,-0.71280544
"9100ASHLEY","ASHLEY","ASY","Ashley Rail Station","","U",377370,384370,"2003-11-04T00:00:00","2011-11-03T16:09:31",2,"rev",SJ7737084370,53.355722,-2.3414604
"9100ASHONUL","ASHONUL","AHN","Ashton-under-Lyne Rail Station","","U",393840,399400,"2003-11-04T00:00:00","2009-01-05T10:01:52",3,"rev",SJ9384099400,53.491271,-2.0943123
"9100ASHURST","ASHURST","AHS","Ashurst (Kent) Rail Station","","U",550726,138801,"2005-04-21T00:00:00","2008-05-14T16:54:22",2,"rev",TQ5072638801,51.128661,0.15265212
"9100ASHVALE","ASHVALE","AHV","Ash Vale Rail Station","","U",489273,153342,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",SU8927353342,51.272245,-0.72164856
"9100ASHWELC","ASHWELC","AWM","Ashwell & Morden Rail Station","","U",529770,238615,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",TL2977038615,52.030770,-0.10978891
"9100ASKAM","ASKAM","ASK","Askam Rail Station","","U",321500,477688,"2003-11-04T00:00:00","2011-03-07T15:31:51",2,"rev",SD2150077688,54.188928,-3.2045112
"9100ASLCKTN","ASLCKTN","ALK","Aslockton Rail Station","","U",474130,339920,"2003-11-04T00:00:00","2011-01-24T15:59:01",2,"rev",SK7413039920,52.951548,-0.89809757
"9100ASPLEYG","ASPLEYG","APG","Aspley Guise Rail Station","","U",493944,236751,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",SP9394436751,52.021235,-0.63233448
"9100ASPTRIA","ASPTRIA","ASP","Aspatria Rail Station","","U",314390,541260,"2003-11-04T00:00:00","2011-03-07T15:31:51",3,"rev",NY1439041260,54.758955,-3.3318736
"9100ASTON","ASTON","AST","Aston Rail Station","","U",408790,289600,"2003-11-04T00:00:00","2010-04-01T16:15:28",2,"rev",SP0879089600,52.504229,-1.8719335
"9100ATADALE","ATADALE","ATT","Attadale Rail Station","","U",192456,839125,"2003-11-04T00:00:00","2010-02-25T14:55:45",2,"rev",NG9245639125,57.395035,-5.4555769
"9100ATHERTN","ATHERTN","ATN","Atherton Rail Station","","U",368347,403716,"2003-11-04T00:00:00","2009-01-05T10:02:26",2,"rev",SD6834703716,53.529142,-2.4789720
"9100ATHRSTN","ATHRSTN","ATH","Atherstone Rail Station","","U",430400,298000,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev",SP3040098000,52.578970,-1.5528113
"9100ATNBRO","ATNBRO","ATB","Attenborough Rail Station","","U",451790,334585,"2003-11-04T00:00:00","2011-01-24T15:59:01",2,"rev",SK5179034585,52.906211,-1.2314155
"9100ATTLBON","ATTLBON","ATL","Attleborough Rail Station","","U",605177,295033,"2003-11-04T00:00:00","2008-12-01T15:27:09",3,"rev",TM0517795033,52.514546,1.0223476
"9100AUDLEYE","AUDLEYE","AUD","Audley End Rail Station","","U",551600,236300,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",TL5160036300,52.004441,0.20716003
"9100AVIEMRE","AVIEMRE","AVM","Aviemore Rail Station","","U",289566,812339,"2003-11-04T00:00:00","2010-02-25T14:57:24",5,"rev",NH8956612339,57.188510,-3.8288671
"9100AVNCLFF","AVNCLFF","AVF","Avoncliff Rail Station","","U",380500,160100,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",ST8050060100,51.339649,-2.2813253
"9100AVONMTH","AVONMTH","AVN","Avonmouth Rail Station","","U",351544,178168,"2003-11-04T00:00:00","2009-01-19T13:00:36",2,"rev",ST5154478168,51.500360,-2.6994661
"9100AXMNSTR","AXMNSTR","AXM","Axminster Rail Station","","U",329260,98225,"2003-11-04T00:00:00","2010-10-06T16:42:54",2,"rev",SY2926098225,50.779269,-3.0047231
"9100AYLESFD","AYLESFD","AYL","Aylesford Rail Station","","U",572017,158687,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",TQ7201758687,51.301316,0.46617058
"9100AYLSBRY","AYLSBRY","AYS","Aylesbury Rail Station","","U",481779,213470,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SP8177913470,51.813889,-0.81509596
"9100AYLSPWY","AYLSPWY","AVP","Aylesbury Vale Parkway Rail Station","","U",478641,215341,"2008-09-24T10:14:52","2008-09-24T10:14:52",0,"new",SP7864115341,51.831157,-0.86018239
"9100AYRR","AYRR","AYR","Ayr Rail Station","","U",234060,621390,"2003-11-04T00:00:00","2010-01-12T17:14:40",3,"rev",NS3406021390,55.458141,-4.6258755
"9100BACHE","BACHE","BAC","Bache Rail Station","","U",340545,368340,"2003-11-04T00:00:00","2011-02-28T15:16:26",2,"rev",SJ4054568340,53.208784,-2.8916700
"9100BAGE","BAGE","BNA","Burnage Rail Station","","U",385764,391618,"2003-11-04T00:00:00","2009-01-05T10:12:59",2,"rev",SJ8576491618,53.421165,-2.2156781
"9100BAGSHOT","BAGSHOT","BAG","Bagshot Rail Station","","U",491391,163627,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",SU9139163627,51.364366,-0.68866197
"9100BAILDON","BAILDON","BLD","Baildon Rail Station","","U",416305,439360,"2003-11-04T00:00:00","2010-07-26T14:34:08",2,"rev",SE1630539360,53.850223,-1.7536362
"9100BALCOMB","BALCOMB","BAB","Balcombe Rail Station","","U",530670,130115,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",TQ3067030115,51.055520,-0.13693375
"9100BALDOCK","BALDOCK","BDK","Baldock Rail Station","","U",524540,234264,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",TL2454034264,51.992870,-0.18756375
"9100BALHAM","BALHAM","BAL","Balham Rail Station","","U",528500,173200,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",TQ2850073200,51.443223,-0.15242449
"9100BALISTN","BALISTN","BIO","Baillieston Rail Station","","U",267750,663275,"2003-11-04T00:00:00","2011-08-22T17:03:04",2,"rev",NS6775063275,55.844500,-4.1136983
"9100BALLOCH","BALLOCH","BHC","Balloch Rail Station","","U",239000,681900,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev",NS3900081900,56.002932,-4.5834853
"9100BALMOSS","BALMOSS","BSI","Balmossie Rail Station","","U",348417,731698,"2003-11-04T00:00:00","2007-10-11T16:51:10",2,"rev",NO4841731698,56.474564,-2.8389558
"9100BAMFORD","BAMFORD","BAM","Bamford Rail Station","","U",420800,382500,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SK2080082500,53.338998,-1.6890817
"9100BANAVIE","BANAVIE","BNV","Banavie Rail Station","","U",211300,776700,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",NN1130076700,56.843307,-5.0954255
"9100BANGOR","BANGOR","BNG","Bangor (Gwynedd) Rail Station","","U",257500,371600,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev",SH5750071600,53.222281,-4.1358799
"9100BANSTED","BANSTED","BAD","Banstead Rail Station","","U",524588,160432,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",TQ2458860432,51.329347,-0.21315893
"9100BARASIE","BARASIE","BSS","Barassie Rail Station","","U",232900,632900,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",NS3290032900,55.561057,-4.6511384
"9100BARELA","BARELA","BAR","Bare Lane Rail Station","","U",345439,464613,"2003-11-04T00:00:00","2009-01-19T13:00:36",2,"rev",SD4543964613,54.074540,-2.8353304
"9100BARGOED","BARGOED","BGD","Bargoed Rail Station","","U",315100,200000,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SO1510000000,51.692308,-3.2296795
"9100BARKING","BARKING","BKG","Barking Rail Station","","U",544410,184340,"2003-11-04T00:00:00","2010-05-14T17:36:24",2,"rev",TQ4441084340,51.539493,0.080902430
"9100BARLSTN","BARLSTN","BRT","Barlaston Rail Station","","U",388800,338400,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SJ8880038400,52.942871,-2.1681111
"9100BARMING","BARMING","BMG","Barming Rail Station","","U",572970,156891,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",TQ7297056891,51.284894,0.47895810
"9100BARNES","BARNES","BNS","Barnes Rail Station","","U",522200,175700,"2003-11-04T00:00:00","2010-05-14T17:36:24",2,"rev",TQ2220075700,51.467084,-0.24216428
