"AtcoCode","TiplocCode","CrsCode","StationName","StationNameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification",SV0000000000,"Latitude","Longitude"
"9100THIRSK","THIRSK","THI","Thirsk Rail Station","","U",441000,481570,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev",SE4100081570,54.228210,-1.3725880
"9100THLB","THLB","THB","Thornliebank Rail Station","","U",255230,659955,"2003-11-04T00:00:00","2011-07-07T16:17:02",2,"rev",NS5523059955,55.811098,-4.3117070
"9100THOK","THOK","TOK","Three Oaks Rail Station","","U",583835,114545,"2005-04-21T00:00:00","2010-12-20T15:37:54",2,"rev",TQ8383514545,50.901114,0.61305097
"9100THOPBAY","THOPBAY","TPB","Thorpe Bay Rail Station","","U",591627,185689,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",TQ9162785689,51.537569,0.76172795
"9100THORNEN","THORNEN","TNN","Thorne North Rail Station","","U",468080,413770,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",SE6808013770,53.616061,-0.97233078
"9100THORNES","THORNES","TNS","Thorne South Rail Station","","U",469240,412370,"2003-11-04T00:00:00","2010-12-20T15:37:54",2,"rev",SE6924012370,53.603328,-0.95510921
"9100THPLESK","THPLESK","TLS","Thorpe-le-Soken Rail Station","","U",617845,221285,"2005-04-21T00:00:00","2010-10-06T16:45:11",2,"rev",TM1784521285,51.847635,1.1614004
"9100THRGRTN","THRGRTN","THU","Thurgarton Rail Station","","U",469695,348465,"2003-11-04T00:00:00","2011-01-24T15:59:01",2,"rev",SK6969548465,53.028942,-0.96225698
"9100THTH","THTH","TTH","Thornton Heath Rail Station","","U",532250,168350,"2003-11-04T00:00:00","2010-05-27T19:04:08",2,"rev",TQ3225068350,51.398776,-0.10030594
"9100THURSO","THURSO","THS","Thurso Rail Station","","U",311300,967920,"2003-11-04T00:00:00","2010-02-25T14:50:33",4,"rev",ND1130067920,58.590175,-3.5275481
"9100THUSTON","THUSTON","TRS","Thurston Rail Station","","U",591823,265030,"2003-11-04T00:00:00","2008-11-24T16:36:59",2,"rev",TL9182365030,52.250002,0.80865271
"9100TILEH","TILEH","THL","Tile Hill Rail Station","","U",427530,277530,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SP2753077530,52.395102,-1.5968484
"9100TILHRST","TILHRST","TLH","Tilehurst Rail Station","","U",467483,175173,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",SU6748375173,51.471507,-1.0298159
"9100TIPTON","TIPTON","TIP","Tipton Rail Station","","U",395640,292510,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SO9564092510,52.530440,-2.0657012
"9100TIRPHIL","TIRPHIL","TIR","Tir-phil Rail Station","","U",314000,203200,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SO1400003200,51.720905,-3.2463801
"9100TISBURY","TISBURY","TIS","Tisbury Rail Station","","U",394560,129060,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",ST9456029060,51.060851,-2.0790021
"9100TIVIPW","TIVIPW","TVP","Tiverton Parkway Rail Station","","U",304520,113960,"2003-11-04T00:00:00","2010-10-06T16:42:54",2,"rev",ST0452013960,50.917176,-3.3596440
"9100TLBYTWN","TLBYTWN","TIL","Tilbury Town Rail Station","","U",563626,176337,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",TQ6362676337,51.462357,0.35403847
"9100TLSRNAU","TLSRNAU","TAL","Talsarnau Rail Station","","U",261000,336100,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SH6100036100,52.904306,-4.0681546
"9100TMPCMB","TMPCMB","TMC","Templecombe Rail Station","","U",370785,122540,"2003-11-04T00:00:00","2010-07-26T14:38:53",2,"rev",ST7078522540,51.001501,-2.4177247
"9100TMWTHHL","TMWTHHL","TAH","Tamworth High Level Rail Station","","U",421316,304460,"2003-11-04T00:00:00","2010-11-08T17:02:59",2,"rev",SK2131604460,52.637473,-1.6864496
"9100TMWTHLL","TMWTHLL","TAM","Tamworth Rail Station","","U",421315,304460,"2003-11-04T00:00:00","2010-11-08T17:02:59",5,"rev",SK2131504460,52.637473,-1.6864644
"9100TNYPNDY","TNYPNDY","TNP","Tonypandy Rail Station","","U",299790,192210,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SS9979092210,51.619761,-3.4488692
"9100TODMRDN","TODMRDN","TOD","Todmorden Rail Station","","U",393520,424160,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev",SD9352024160,53.713816,-2.0996592
"9100TOLWTH","TOLWTH","TOL","Tolworth Rail Station","","U",519845,165605,"2005-04-25T00:00:00","2010-05-27T19:04:08",2,"rev",TQ1984565605,51.376859,-0.27946146
"9100TONBDG","TONBDG","TON","Tonbridge Rail Station","","U",558789,146027,"2005-04-21T00:00:00","2010-01-11T14:51:37",2,"rev",TQ5878946027,51.191410,0.27097305
"9100TONDU","TONDU","TDU","Tondu Rail Station","","U",289460,184370,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SS8946084370,51.547360,-3.5955494
"9100TONFNAU","TONFNAU","TNF","Tonfanau Rail Station","","U",256310,303870,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SH5631003870,52.613540,-4.1236979
"9100TONPNTR","TONPNTR","TPN","Ton Pentre Rail Station","","U",297270,195380,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SS9727095380,51.647799,-3.4861873
"9100TOOTING","TOOTING","TOO","Tooting Rail Station","","U",527950,170585,"2005-04-25T00:00:00","2010-05-27T19:04:08",2,"rev",TQ2795070585,51.419847,-0.16127773
"9100TOPSHAM","TOPSHAM","TOP","Topsham Rail Station","","U",296646,88419,"2003-11-04T00:00:00","2009-01-19T13:00:36",2,"rev",SX9664688419,50.686215,-3.4644226
"9100TORQUAY","TORQUAY","TQY","Torquay Rail Station","","U",290555,63505,"2003-11-04T00:00:00","2010-10-06T16:42:54",2,"rev",SX9055563505,50.461132,-3.5432752
"9100TORRE","TORRE","TRR","Torre Rail Station","","U",290360,64850,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SX9036064850,50.473187,-3.5464159
"9100TOTNES","TOTNES","TOT","Totnes Rail Station","","U",280170,60920,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev",SX8017060920,50.435863,-3.6886923
